expenseDate,key,taxiDestination,created,km,office,destinationEnd,destinationIni,expenseType,attachmentUrl,amount,nights,createdBy,expenseDetails
"Timestamp(seconds=1607666400, nanoseconds=0)",AmYopEPL3nX4zOy9xAuE,De Terminal a Hotel,"Timestamp(seconds=1607967211, nanoseconds=976000000)",,[object Object],,,Taxi,,200,,[object Object],
"Timestamp(seconds=1607580000, nanoseconds=0)",yhsOdNOqs8IMrhB85QPT,,"Timestamp(seconds=1607908655, nanoseconds=995000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607580000, nanoseconds=0)",lcqqpkuKAWaz3BovPkUg,,"Timestamp(seconds=1607967135, nanoseconds=136000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FlcqqpkuKAWaz3BovPkUg?alt=media&token=0e086173-9053-463f-8f39-0cd7ce07bc07,833,1,[object Object],
"Timestamp(seconds=1607580000, nanoseconds=0)",ku3KOvUzZxTG45Sp7N9R,De Sucursal a Terminal,"Timestamp(seconds=1607966746, nanoseconds=776000000)",,[object Object],,,Taxi,,100,,[object Object],
"Timestamp(seconds=1607580000, nanoseconds=0)",gOoNXRC6v9ahsEMIpyNh,De Hotel a Sucursal,"Timestamp(seconds=1607966692, nanoseconds=248000000)",,[object Object],,,Taxi,,75,,[object Object],
"Timestamp(seconds=1607580000, nanoseconds=0)",bXsYxQlvixMEV4YWTk3v,De Terminal a Hotel,"Timestamp(seconds=1607966603, nanoseconds=552000000)",,[object Object],,,Taxi,,60,,[object Object],
"Timestamp(seconds=1607580000, nanoseconds=0)",3raUpCDbOJsSF7sKcmES,,"Timestamp(seconds=1607966906, nanoseconds=859000000)",,[object Object],Mazatlán ,Guasave ,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F3raUpCDbOJsSF7sKcmES?alt=media&token=c3c6f8ce-5f09-4dce-8714-b518f0fa4cfa,310,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",iFbORv7B4miFi6RvDjKA,,"Timestamp(seconds=1607966511, nanoseconds=805000000)",,[object Object],Guasave,Los Mochis ,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FiFbORv7B4miFi6RvDjKA?alt=media&token=a0e922ef-0003-4f17-a2e4-d99482275575,60,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",iAPmAdtF0EIELy8VDxVI,,"Timestamp(seconds=1607966298, nanoseconds=957000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FiAPmAdtF0EIELy8VDxVI?alt=media&token=b304fff0-8f26-472c-9534-f396c24fc335,480,1,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",dAHQLm12aHkZnAaQsjsh,De Hotel a Sucursal,"Timestamp(seconds=1607965043, nanoseconds=727000000)",,[object Object],,,Taxi,,100,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",aF7tOKR8H7x1YKoLsbu8,,"Timestamp(seconds=1607908626, nanoseconds=441000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",Rz7BzvlxovD7mrqyPAFB,De Sucursal a Hotel,"Timestamp(seconds=1607965088, nanoseconds=368000000)",,[object Object],,,Taxi,,60,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",Rv4O6cU5w4c6sOPxK7ER,De Terminal a Sucursal,"Timestamp(seconds=1607965931, nanoseconds=709000000)",,[object Object],,,Taxi,,160,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",Ndgl1HbWptEGvW8BhNjY,De Sucursal a Terminal,"Timestamp(seconds=1607966002, nanoseconds=441000000)",,[object Object],,,Taxi,,150,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",GLycWskoRqGdHxvlfkS8,De Hotel a Terminal,"Timestamp(seconds=1607965127, nanoseconds=444000000)",,[object Object],,,Taxi,,80,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",D9P7vKZ9BZl9rMb0gwGc,,"Timestamp(seconds=1607965461, nanoseconds=865000000)",,[object Object],Los Mochis ,Navojoa,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FD9P7vKZ9BZl9rMb0gwGc?alt=media&token=fe97756f-96e7-4493-bbab-df533949d4fe,161,,[object Object],
"Timestamp(seconds=1607493600, nanoseconds=0)",ABO3wyHtaOQAdFMoNBAP,,"Timestamp(seconds=1607965751, nanoseconds=815000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FABO3wyHtaOQAdFMoNBAP?alt=media&token=92970327-ea7b-4e4a-bd15-2bea7a964763,750,1,[object Object],
"Timestamp(seconds=1607407200, nanoseconds=0)",iOKotbMFIkEtakxXFpqc,De Hotel a Terminal,"Timestamp(seconds=1607964779, nanoseconds=760000000)",,[object Object],,,Taxi,,250,,[object Object],
"Timestamp(seconds=1607407200, nanoseconds=0)",i5BGItoYu3LPCiaMtqrU,De Sucursal a Hotel,"Timestamp(seconds=1607492739, nanoseconds=501000000)",,[object Object],,,Taxi,,120,,[object Object],
"Timestamp(seconds=1607407200, nanoseconds=0)",hA9vjNMlgXcWIIRzk4WE,De Sucursal a Hotel,"Timestamp(seconds=1607964964, nanoseconds=300000000)",,[object Object],,,Taxi,,500,,[object Object],
"Timestamp(seconds=1607407200, nanoseconds=0)",HthH4y3baGyAKgLUZSIT,De Terminal a Sucursal,"Timestamp(seconds=1607964842, nanoseconds=433000000)",,[object Object],,,Taxi,,250,,[object Object],
"Timestamp(seconds=1607407200, nanoseconds=0)",BAMneG9qfDDz66XWx4Fy,,"Timestamp(seconds=1607908560, nanoseconds=78000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607403600, nanoseconds=0)",ppPp2k6ihnQ6Nl13BqCP,,"Timestamp(seconds=1607467493, nanoseconds=897000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607403600, nanoseconds=0)",LQpug8zi5SgvacqqxV9P,De Hotel a Sucursal,"Timestamp(seconds=1607468283, nanoseconds=173000000)",,[object Object],,,Taxi,,120,,[object Object],
"Timestamp(seconds=1607320800, nanoseconds=0)",tcAdMwnhgIOMTCk1b35y,,"Timestamp(seconds=1607968227, nanoseconds=888000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FtcAdMwnhgIOMTCk1b35y?alt=media&token=e883c182-672f-4100-acee-5bd891dfd33a,450,1,[object Object],
"Timestamp(seconds=1607320800, nanoseconds=0)",MuVnsJRJNr9Bcc0xuAVJ,,"Timestamp(seconds=1607354897, nanoseconds=633000000)",130,[object Object],,,Gasolina,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FMuVnsJRJNr9Bcc0xuAVJ?alt=media&token=646e5ddf-11d8-4286-99cd-b0cbfe73e0fc,300,,[object Object],
"Timestamp(seconds=1607320800, nanoseconds=0)",FQ6It4IG6IQFfS3Vc2Kb,,"Timestamp(seconds=1607354937, nanoseconds=395000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607320800, nanoseconds=0)",6FdyLCN4rv9YXXXetXWe,De Casa a Refacciones,"Timestamp(seconds=1607384158, nanoseconds=569000000)",,[object Object],,,Taxi,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F6FdyLCN4rv9YXXXetXWe?alt=media&token=f1706476-5970-4b78-8ffd-8705bf9eb2dc,122,,[object Object],
"Timestamp(seconds=1607320800, nanoseconds=0)",5JAJby8E7M8011TGMnL9,,"Timestamp(seconds=1607383919, nanoseconds=590000000)",,[object Object],,,Otros,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F5JAJby8E7M8011TGMnL9?alt=media&token=318853e7-2000-40d6-97a9-1d8581aab0ae,801,,[object Object],equipaje demorado
"Timestamp(seconds=1607320800, nanoseconds=0)",4aow3zKrolsiMuEyWmcT,De Terminal a Hotel,"Timestamp(seconds=1607964493, nanoseconds=401000000)",,[object Object],,,Taxi,,250,,[object Object],
"Timestamp(seconds=1607317200, nanoseconds=0)",n8GjsfyVW5MPYQIQjx1h,De Terminal a Sucursal,"Timestamp(seconds=1607468163, nanoseconds=210000000)",,[object Object],,,Taxi,,150,,[object Object],
"Timestamp(seconds=1607317200, nanoseconds=0)",cDSH6tJ6g6qTgbwGOI9V,De Hotel a Terminal,"Timestamp(seconds=1607468084, nanoseconds=266000000)",,[object Object],,,Taxi,,120,,[object Object],
"Timestamp(seconds=1607317200, nanoseconds=0)",HXAekgHAKaeETj0HJw6X,,"Timestamp(seconds=1607467376, nanoseconds=485000000)",,[object Object],MERIDA,CAMPECHE,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FHXAekgHAKaeETj0HJw6X?alt=media&token=dcae8894-b68a-42e9-a20a-4202ef0524b7,229,,[object Object],
"Timestamp(seconds=1607317200, nanoseconds=0)",A0vYxFc9PX0pBhjYouLj,,"Timestamp(seconds=1607467473, nanoseconds=657000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607317200, nanoseconds=0)",9ee8B2sof1AOkgOsariU,De Sucursal a Hotel,"Timestamp(seconds=1607468186, nanoseconds=489000000)",,[object Object],,,Taxi,,120,,[object Object],
"Timestamp(seconds=1607317200, nanoseconds=0)",5pMGjWEv4ZB2hjux4oee,,"Timestamp(seconds=1607471804, nanoseconds=297000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F5pMGjWEv4ZB2hjux4oee?alt=media&token=b6b26690-734b-44bb-bae4-76331952b669,1500,2,[object Object],
"Timestamp(seconds=1607234400, nanoseconds=0)",VadXLtMhafHeUvIYnziF,,"Timestamp(seconds=1607800834, nanoseconds=598000000)",,[object Object],CANCUN,MERIDA,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FVadXLtMhafHeUvIYnziF?alt=media&token=7d5bf1f3-8359-4b1b-8214-91cbd857e837,461,,[object Object],
"Timestamp(seconds=1607230800, nanoseconds=0)",biCLnCKKoQMjgwgDekkp,,"Timestamp(seconds=1607465130, nanoseconds=304000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FbiCLnCKKoQMjgwgDekkp?alt=media&token=13ccc884-eea0-4e8d-b8ac-97e3bad49e6a,600,1,[object Object],
"Timestamp(seconds=1607230800, nanoseconds=0)",SijtgCxMCGzov9ntarHl,De Terminal a Sucursal,"Timestamp(seconds=1607468018, nanoseconds=919000000)",,[object Object],,,Taxi,,120,,[object Object],
"Timestamp(seconds=1607230800, nanoseconds=0)",HSUstA4BINxPU3sWimQy,,"Timestamp(seconds=1607465070, nanoseconds=897000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607230800, nanoseconds=0)",FWb8H0duvLDUuXParJD8,De Sucursal a Hotel,"Timestamp(seconds=1607468054, nanoseconds=315000000)",,[object Object],,,Taxi,,120,,[object Object],
"Timestamp(seconds=1607230800, nanoseconds=0)",DD3K2P1IHPqvUfBsoVb7,,"Timestamp(seconds=1607466208, nanoseconds=684000000)",,[object Object],CAMPECHE,VILLAHERMOSA,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FDD3K2P1IHPqvUfBsoVb7?alt=media&token=e6fbb630-5219-4622-bf36-593300ff6a2d,634,,[object Object],
"Timestamp(seconds=1607144400, nanoseconds=0)",lbhiyTQu2hRBOdLkIotr,,"Timestamp(seconds=1607464877, nanoseconds=670000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607144400, nanoseconds=0)",a3n5XnVrYrVggUdpLh2m,,"Timestamp(seconds=1607465254, nanoseconds=282000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607144400, nanoseconds=0)",GQHrwn2KsjsykX5BQQHO,De Sucursal a Hotel,"Timestamp(seconds=1607467974, nanoseconds=550000000)",,[object Object],,,Taxi,,110,,[object Object],
"Timestamp(seconds=1607144400, nanoseconds=0)",DvGzz8htvENEy48my29v,De Hotel a Sucursal,"Timestamp(seconds=1607467951, nanoseconds=732000000)",,[object Object],,,Taxi,,100,,[object Object],
"Timestamp(seconds=1607061600, nanoseconds=0)",XCnPTt2e5AVvnKbm8lPr,,"Timestamp(seconds=1607354708, nanoseconds=999000000)",,[object Object],1 Adulto,CDMX,Avion,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FXCnPTt2e5AVvnKbm8lPr?alt=media&token=55aaa9ed-c919-4f9c-8461-0e581bc0ab26,2343,,[object Object],
"Timestamp(seconds=1607061600, nanoseconds=0)",ET1jN5qX6QGyvAYyosaV,,"Timestamp(seconds=1607143863, nanoseconds=524000000)",,[object Object],,,Otros,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FET1jN5qX6QGyvAYyosaV?alt=media&token=4c87f122-a59a-4ba2-a501-48d1675ed5df,635,,[object Object],Plan de datos internet
"Timestamp(seconds=1607058000, nanoseconds=0)",xZkWWaV8rMgOVFzHiAqL,De Terminal a Sucursal,"Timestamp(seconds=1607467865, nanoseconds=140000000)",,[object Object],,,Taxi,,120,,[object Object],
"Timestamp(seconds=1607058000, nanoseconds=0)",sbAUl66Sl1CZCMY7GYOD,De Sucursal a Hotel,"Timestamp(seconds=1607467892, nanoseconds=614000000)",,[object Object],,,Taxi,,110,,[object Object],
"Timestamp(seconds=1607058000, nanoseconds=0)",VphTwUa8xACpNC81Ah6G,,"Timestamp(seconds=1607464827, nanoseconds=822000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FVphTwUa8xACpNC81Ah6G?alt=media&token=ce747a0d-792c-4ef3-8d25-28b2b128d70e,1300,2,[object Object],
"Timestamp(seconds=1607058000, nanoseconds=0)",T0MBAdF41fmEPZo0pzHD,,"Timestamp(seconds=1607464762, nanoseconds=289000000)",,[object Object],VILLAHERMOSA,TUXTLA,Bus,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FT0MBAdF41fmEPZo0pzHD?alt=media&token=c60a57a9-5231-4a3e-8178-4785126b39e0,490,,[object Object],
"Timestamp(seconds=1607058000, nanoseconds=0)",Pjt8jK3kvHcWo0lwYZVD,,"Timestamp(seconds=1607464695, nanoseconds=287000000)",,[object Object],,,Hotel,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FPjt8jK3kvHcWo0lwYZVD?alt=media&token=95d08c74-e2e9-4364-baec-ff8643b01dbc,772,1,[object Object],
"Timestamp(seconds=1607058000, nanoseconds=0)",MhZzCuPD6vUEG67mc6C9,,"Timestamp(seconds=1607464861, nanoseconds=791000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1607058000, nanoseconds=0)",E6EnNqPemJaF2VRimQad,De Hotel a Terminal,"Timestamp(seconds=1607467784, nanoseconds=544000000)",,[object Object],,,Taxi,,130,,[object Object],
"Timestamp(seconds=1606975200, nanoseconds=0)",z6RnxszQrMZCj14DW8JW,,"Timestamp(seconds=1607964229, nanoseconds=920000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1606971600, nanoseconds=0)",zKlaWHWCNo9A5D9Z03sg,De Sucursal a Hotel,"Timestamp(seconds=1607467762, nanoseconds=775000000)",,[object Object],,,Taxi,,100,,[object Object],
"Timestamp(seconds=1606971600, nanoseconds=0)",iJ1oi9eOaCamwZhYrhvW,,"Timestamp(seconds=1607425657, nanoseconds=229000000)",,[object Object],TUXTLA,CDMX,Avion,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FiJ1oi9eOaCamwZhYrhvW?alt=media&token=58628870-04bf-4595-b15a-56b79dfeb97c,2532.49,,[object Object],
"Timestamp(seconds=1606971600, nanoseconds=0)",i94JF6Rr9UfGn2HLO0x0,De Terminal a Sucursal,"Timestamp(seconds=1607464583, nanoseconds=212000000)",,[object Object],,,Taxi,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2Fi94JF6Rr9UfGn2HLO0x0?alt=media&token=9057355e-a482-41fa-ac7a-2a23b1ee18d5,315,,[object Object],
"Timestamp(seconds=1606971600, nanoseconds=0)",DBUtzKtGr2MWdhppmCK1,,"Timestamp(seconds=1607464846, nanoseconds=558000000)",,[object Object],,,Alimentos,,300,,[object Object],
"Timestamp(seconds=1606971600, nanoseconds=0)",2V0hC9Mj6SYKxUPTs9iO,De Casa a Terminal,"Timestamp(seconds=1607425061, nanoseconds=403000000)",,[object Object],,,Taxi,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2F2V0hC9Mj6SYKxUPTs9iO?alt=media&token=1bc9d7e3-b515-4054-83cc-439ba69e574e,336.23,,[object Object],
"Timestamp(seconds=1606802400, nanoseconds=0)",E00r90PKQaVlZnz0DTfK,,"Timestamp(seconds=1607968452, nanoseconds=799000000)",,[object Object],,,Otros,https://firebasestorage.googleapis.com/v0/b/efisolutions-d6766.appspot.com/o/expenses%2FE00r90PKQaVlZnz0DTfK?alt=media&token=98278879-c0fa-46c9-b728-0bf089d23292,260.23,,[object Object],Saldo pendiente del mes de Noviembre 
